id	filename	md5	size	state
54cd1923-f083-4ed0-b18d-039618c0cfaa	7568e08d-f019-405a-aacf-8d7424ddd602.mirnaseq.isoforms.quantification.txt	fde1121f8b8cd47c3698f9127f6d663e	985596	validated
e2af41c8-e4c0-42d9-b39f-fec62c13e040	310a4f5a-9039-4f5f-95fc-0198208a0790.mirnaseq.isoforms.quantification.txt	ba2eba7912ac841ce2734327784f09c5	845136	validated
eebfb09a-1e6c-415c-b18b-463641040eb3	46daa449-f6c0-4d0a-b3b9-6024f97bbf96.mirnaseq.isoforms.quantification.txt	e8c9ae5208a3eff76723ef5f2ec5fa8c	866390	validated
eee4d86e-e7c5-4843-9353-e2e3a52351ef	8e9f0b01-a0bb-41fa-9555-a78894f1a052.mirnaseq.isoforms.quantification.txt	625c0d52fe04dbd59f4b3e1dd2df3141	796964	validated
0259959f-7883-41e2-a591-0a2325f7484c	ebf23174-fd96-4715-b614-b63aa10ce6c1.mirnaseq.isoforms.quantification.txt	6d50ec3dbbeabb53496845b21fcd961d	837311	validated
05fc5a1b-35eb-4527-802d-9eee3732d8d2	7c7f82bb-1afe-46d7-acfe-085502709877.mirnaseq.isoforms.quantification.txt	288fb9b593c62716bf5c7e69de7276da	935229	validated
07635374-908c-4ae0-ab97-10924a995588	6dffaaa7-046c-4479-b731-555922202039.mirnaseq.isoforms.quantification.txt	ebac9624d7326b989674aa9fe1f977b0	829426	validated
11f55134-3950-4686-af63-0f52cd253e14	ee5e47ad-6685-4605-8c7e-a0ce250eb708.mirnaseq.isoforms.quantification.txt	43cb45ef5de6d19bc2f788fbf0c74b47	885084	validated
1f126aee-6489-415d-b5cc-83720e9c25ae	ed04ed46-d1ae-4433-92f8-bd9fa9091920.mirnaseq.isoforms.quantification.txt	bbafe49cdd9e37c1c409e78f1f46bdce	844615	validated
101dc347-7614-4b9e-bf88-868adce1185b	2971d144-19e5-433e-893f-70350bd95993.mirnaseq.isoforms.quantification.txt	ecc295f6737929e229fb0874b0b13e22	896162	validated
19059845-e93d-4b59-98f0-1d7605d2ed40	7743644f-300f-4eb8-9f78-b2f5f427d4b2.mirnaseq.isoforms.quantification.txt	7f4f1c4d7a4c7bfcc985daad976981ec	898623	validated
1b68b08e-56a8-49c9-9a19-fc11a2095116	95903a65-83e7-4b6c-b299-46d0f95e8872.mirnaseq.isoforms.quantification.txt	1182cf945351d711bf773bfe877685bb	836814	validated
